task_id,stage_label,split_index,regime_id,regime_weights,shift_type,recurrence_of,parameter_distance,num_events,split,sequence_id,source
0,A_1_initial,0,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00000,stream
0,A_1_initial,1,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00001,stream
0,A_1_initial,2,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00002,stream
0,A_1_initial,3,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00003,stream
0,A_1_initial,4,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00004,stream
0,A_1_initial,5,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00005,stream
0,A_1_initial,6,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00006,stream
0,A_1_initial,7,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00007,stream
0,A_1_initial,8,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00008,stream
0,A_1_initial,9,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00009,stream
0,A_1_initial,10,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00010,stream
0,A_1_initial,11,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00011,stream
0,A_1_initial,12,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00012,stream
0,A_1_initial,13,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00013,stream
0,A_1_initial,14,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00014,stream
0,A_1_initial,15,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00015,stream
0,A_1_initial,16,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00016,stream
0,A_1_initial,17,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00017,stream
0,A_1_initial,18,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00018,stream
0,A_1_initial,19,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00019,stream
0,A_1_initial,20,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00020,stream
0,A_1_initial,21,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00021,stream
0,A_1_initial,22,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00022,stream
0,A_1_initial,23,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00023,stream
0,A_1_initial,24,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00024,stream
0,A_1_initial,25,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00025,stream
0,A_1_initial,26,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00026,stream
0,A_1_initial,27,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00027,stream
0,A_1_initial,28,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00028,stream
0,A_1_initial,29,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00029,stream
0,A_1_initial,30,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00030,stream
0,A_1_initial,31,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00031,stream
0,A_1_initial,32,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00032,stream
0,A_1_initial,33,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00033,stream
0,A_1_initial,34,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00034,stream
0,A_1_initial,35,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00035,stream
0,A_1_initial,36,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00036,stream
0,A_1_initial,37,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00037,stream
0,A_1_initial,38,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00038,stream
0,A_1_initial,39,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00039,stream
0,A_1_initial,40,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00040,stream
0,A_1_initial,41,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00041,stream
0,A_1_initial,42,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00042,stream
0,A_1_initial,43,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00043,stream
0,A_1_initial,44,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00044,stream
0,A_1_initial,45,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00045,stream
0,A_1_initial,46,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00046,stream
0,A_1_initial,47,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00047,stream
0,A_1_initial,48,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00048,stream
0,A_1_initial,49,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00049,stream
0,A_1_initial,50,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00050,stream
0,A_1_initial,51,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00051,stream
0,A_1_initial,52,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00052,stream
0,A_1_initial,53,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00053,stream
0,A_1_initial,54,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00054,stream
0,A_1_initial,55,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00055,stream
0,A_1_initial,56,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00056,stream
0,A_1_initial,57,A_1,"{""A_1"":1.0}",initial,,0.0,64,train,task_00_train_00057,stream
