event_times,event_types,cluster
"2.302137,2.343055,5.841908,6.003302,17.124708,19.605401,26.668097,53.367799,53.368954,53.517365,58.657232,67.923673,67.927555,67.953146,69.249094,69.323358,77.594780,84.844089,84.850330,84.877087,85.019052,85.034249,85.040197,85.148698,85.353165,85.366986,85.369562,85.372684,85.461898,93.966019,100.769618,100.810774,136.042492,178.525257,178.536310,178.631304,178.671576,178.793954,178.817460,183.473300,186.561808,186.631011,186.648582,195.205817,212.340890,215.770556,215.861744,215.944219,216.027783,216.050576,216.187637,216.202678,216.229889,216.581431,216.631439,220.006414,220.017245,220.641347,240.556313,240.601837,240.647264,240.662414,240.663675,240.697499,240.736263,240.767417,240.777227,240.779085,240.781813,240.788554,240.813947,240.818039,240.832060,240.855361,240.855787,240.859505,240.870127,240.925974,240.939965,240.950787","1,3,2,1,4,2,4,1,3,3,7,7,4,4,6,5,5,0,7,4,4,4,4,6,5,2,2,1,3,4,1,3,6,4,6,6,5,2,1,0,5,2,2,7,0,7,7,4,4,6,1,5,6,2,1,4,6,1,7,4,6,4,5,5,5,2,2,2,2,1,2,1,1,1,1,1,1,3,3,3",0
"12.372388,12.411913,12.550234,12.572975,12.660061,12.756470,13.834519,15.863627,64.984049,65.043325,65.055430,65.064419,65.088018,65.117767,65.118858,65.166968,78.478051,100.940221,101.009543,107.946816,112.848457,112.856549,113.033541,113.034646,113.039559,113.127130,113.193831,113.331972,113.522923,121.666012,121.687467,134.669942,141.658788,141.694632,141.732529,145.428206,158.879608,158.887333,158.890579,158.933243,158.943295,158.959227,158.965220,158.996017,159.016046,159.094792,159.482327,159.576184,159.636537,159.647464,160.294180,160.376787,172.761821,185.107086,185.133662,185.135052,188.813412,188.831284,188.844434,188.962696,189.150028,189.168558,203.178689,203.374994,203.587144,232.168776,242.020890,242.227182,242.253994,242.329589,242.342655,242.590759,242.617108,242.771732,242.999684,243.175265,249.656980,259.960292,260.004614,260.221766","0,7,4,6,5,2,6,4,6,5,5,2,5,2,2,2,4,2,1,0,0,7,7,4,6,6,5,2,1,0,7,7,2,1,3,5,7,4,6,4,6,5,2,5,2,1,3,0,0,7,7,4,2,2,1,3,1,4,6,3,0,7,7,4,6,5,4,6,5,5,2,1,3,3,0,7,2,2,1,1",0
"3.161205,3.233153,5.751378,5.768107,5.790235,24.800584,26.074410,32.908846,41.214698,48.309935,59.969915,60.169509,60.283901,60.295490,72.143486,72.152648,72.209874,72.242321,72.286004,73.116785,73.812793,77.360522,77.405089,77.539021,95.627024,95.790708,107.205423,107.289792,128.666936,128.703758,130.330780,130.436484,134.644472,134.706013,134.773795,134.878106,134.883330,134.980407,135.004657,135.012063,135.027102,135.061785,139.410726,139.412033,139.508585,139.623307,144.236837,150.662637,150.689676,150.850414,155.396822,239.872490,239.892523,239.904527,240.089162,240.113865,240.117811,240.149825,240.174564,240.299338,240.353119,240.382225,240.430626,240.484853,240.487167,240.508885,240.553244,240.574778,255.607105,255.646416,255.658844,255.665043,255.672130,255.692327,255.803781,269.376558,269.481957,272.508853,272.533696,272.560614","5,2,6,5,5,6,3,1,1,2,3,7,4,6,6,5,2,2,2,0,2,2,1,3,7,4,4,6,5,2,6,1,3,0,7,7,4,7,4,4,6,6,0,7,7,4,5,5,2,1,5,0,7,7,4,6,5,2,2,1,3,0,0,7,4,7,4,4,7,4,6,4,6,5,5,0,7,3,0,0",0
"16.121324,16.274619,55.506945,84.798584,90.637591,97.822853,110.383162,110.413879,110.453430,117.080074,117.141297,117.150083,117.310244,121.181073,123.755083,123.770608,123.817097,123.830908,128.682679,131.299494,134.061883,147.349396,147.359841,147.419150,151.057569,200.852656,200.954479,200.971262,201.004987,201.307985,201.342079,204.395854,226.870547,251.930032,275.592640,275.629968,285.902336,285.955500,286.046767,298.310513,298.331380,298.479785,298.745394,319.666357,319.670217,319.698041,319.875372,333.288959,342.857231,348.415446,356.238091,356.246465,356.387494,356.460776,356.475368,356.529806,356.576240,361.517982,361.574426,377.930449,379.918388,388.675569,402.402053,410.315670,454.776663,454.827301,470.776581,497.350451,523.911580,524.180264,524.222037,524.251224,524.258114,524.346804,524.850931,533.504583,543.244293,550.759401,550.779974,600.285623","4,6,4,2,3,3,3,0,0,3,0,7,7,7,7,4,6,6,3,0,1,0,7,4,7,1,3,0,3,3,0,5,5,1,2,1,2,1,3,2,1,1,3,0,7,7,4,4,0,6,3,0,7,4,6,4,6,1,3,1,1,6,5,1,5,2,5,6,4,6,5,5,2,2,7,5,7,1,3,2",0
"8.659577,8.691599,8.752230,8.883433,8.987357,16.378021,16.536896,21.045253,46.374342,57.680832,57.684115,75.379831,75.391664,81.564829,87.844825,87.985811,88.016331,94.625410,112.516466,116.455370,116.509216,121.365137,121.460042,121.590603,121.609372,121.674702,121.737354,121.770593,121.781562,121.854665,121.874507,121.880362,121.888146,121.891872,121.898289,121.924862,121.940333,121.968445,122.007678,122.182816,122.196028,122.208098,122.212368,122.227492,122.244273,122.253034,122.297072,122.354283,122.410932,122.449684,122.494520,122.525691,122.745486,122.777701,122.812743,122.843407,122.862199,122.913178,122.926759,122.973538,122.978478,122.981632,123.008650,123.051930,123.092493,123.177319,123.200927,123.202422,123.213389,123.236466,123.251617,123.260563,123.303897,123.336625,123.350070,123.369368,123.387501,123.403745,123.406009,123.428463","6,5,5,2,1,4,6,1,3,5,2,1,3,2,5,2,4,4,2,2,1,2,1,3,0,7,3,0,7,4,0,0,7,7,7,4,4,0,7,7,4,6,6,5,4,5,4,6,6,2,1,5,5,2,1,2,1,3,0,7,4,4,6,6,6,5,7,5,6,2,4,6,6,6,6,1,5,2,5,5",0
"19.796064,19.852675,19.855193,19.861510,28.226836,28.474892,28.497952,28.522157,28.559643,28.590664,28.594600,49.618977,70.224561,70.240744,70.483630,70.489459,70.546267,70.548190,70.586462,70.597143,70.636545,70.649061,70.821981,70.828596,70.867949,70.879312,70.884406,70.924139,70.977805,71.174194,80.349894,82.974497,82.976427,83.039438,83.159932,83.178281,83.191037,83.198262,83.262339,98.548734,98.752282,98.765161,144.963492,145.023920,145.045147,145.049070,145.068407,145.192983,145.310781,150.779587,150.809148,154.951998,154.960129,155.104822,155.248026,155.276062,155.293084,155.301008,155.383448,155.392455,155.441041,155.446141,155.449755,155.497435,155.499959,155.547267,155.553654,155.585876,155.591833,155.601774,155.624309,155.630898,155.707380,155.708022,155.802975,155.812952,155.845938,155.869764,155.906776,156.068100","7,4,6,6,1,4,6,5,2,1,1,3,5,2,1,3,3,0,0,0,7,7,4,6,6,6,5,6,5,2,2,0,7,7,4,4,6,6,5,3,0,7,4,6,5,5,6,2,1,2,1,2,1,1,3,0,7,7,4,0,7,7,4,6,5,2,5,2,2,1,5,3,0,7,7,4,6,3,6,5",0
"3.558648,11.621434,11.734828,11.744253,30.365591,47.583027,47.786702,89.332271,108.400502,108.432925,108.533104,108.558547,108.640512,108.999677,109.025501,109.067981,109.237800,109.310011,127.570503,130.223312,133.846486,133.937558,133.976503,133.997987,134.003940,150.600658,150.990741,151.016955,151.040984,151.052879,151.065590,151.096318,151.096806,151.097799,151.116681,151.124135,151.163524,151.190667,151.252927,151.273564,151.286121,151.301294,151.339526,151.543430,152.351516,190.248454,197.813435,197.816527,197.824271,197.925830,197.932252,201.870544,215.714828,215.771001,224.630418,224.686167,226.172161,226.192017,226.230077,236.163583,236.168834,261.924289,264.869515,264.871258,264.918465,264.930543,264.940375,264.940432,264.944844,264.959868,264.961993,264.963946,264.985477,264.992896,265.014652,265.202287,268.021051,268.070336,268.084059,268.127096","7,1,3,3,5,3,0,5,0,7,7,4,6,4,6,5,5,2,5,7,0,7,4,7,6,7,4,6,5,2,5,4,2,5,2,1,3,2,0,2,1,7,1,3,4,4,4,6,5,5,2,7,1,3,3,0,4,6,5,6,5,1,7,4,4,6,6,5,5,5,6,2,2,1,5,1,2,1,1,1",0
"13.930718,14.164540,17.324332,17.342616,17.392675,17.402542,17.404450,17.420247,17.507168,17.646653,26.348118,26.405154,26.539295,26.564843,26.591406,26.692144,33.798456,33.806971,33.808562,33.997695,34.300392,34.350313,34.402626,34.451228,34.456153,34.457202,34.457451,34.489459,34.535720,34.536255,34.621370,34.678134,34.682487,34.743282,34.745515,34.788827,34.821325,34.856092,34.873746,34.874442,34.963545,34.966740,35.081494,35.254824,38.091611,38.134090,53.652828,53.728252,53.737408,53.872519,53.913456,53.946087,53.994916,54.006308,54.077413,54.200800,61.256108,69.420119,69.527088,86.590915,86.626670,86.664382,86.713305,86.721839,86.750109,89.378207,99.497213,99.545013,118.589418,119.217567,119.315539,126.488372,135.780577,135.849636,135.855955,135.868452,135.902890,136.074320,149.881137,149.952799","4,6,4,6,5,5,2,2,2,2,2,1,3,1,3,3,4,6,6,5,2,1,0,7,4,3,6,4,7,5,4,2,1,4,6,6,5,5,2,1,2,3,0,0,4,6,0,7,4,6,5,5,2,2,1,1,2,1,3,7,4,6,5,2,1,7,4,6,6,3,1,7,1,3,0,0,7,0,2,1",0
"13.506339,13.610787,13.764256,13.790413,13.837932,13.881440,13.962744,18.827955,18.829283,18.863658,18.863870,18.866726,18.868477,18.921742,18.930691,18.970318,18.991124,18.997937,19.017988,19.022945,19.023383,19.039384,19.084246,19.125010,19.142943,19.163857,19.206356,19.240728,19.300320,19.358696,19.372072,19.376455,19.418818,19.434895,19.455776,19.464640,19.467177,19.576609,19.576947,19.583375,19.702195,35.332161,79.734980,79.741905,82.137874,82.142305,82.143332,82.394057,82.427452,82.458274,82.500732,82.597273,82.716507,83.094767,83.098555,83.111499,83.144057,83.152914,83.172643,83.250052,104.887823,109.728447,113.701532,122.212198,122.228706,130.338886,130.369579,130.376004,130.528127,131.977109,147.510335,147.523367,147.737649,147.775510,214.945627,215.459964,215.644708,234.133252,246.089047,250.846634","6,5,2,1,5,2,1,2,1,1,3,0,3,3,7,7,0,4,6,4,4,6,6,6,4,5,5,6,5,6,5,2,1,1,2,5,2,1,1,3,1,0,0,7,5,2,2,2,1,1,3,1,3,0,7,4,4,6,6,5,7,4,5,5,2,5,2,2,2,0,1,3,3,0,0,7,4,3,3,5",0
"4.296137,4.296583,6.984522,19.628014,29.904543,29.916589,30.056070,30.102745,30.106782,30.126318,30.160610,34.642053,43.968614,76.403676,79.453164,79.619905,96.947097,96.987500,97.095522,99.359903,108.170593,108.240937,108.311403,108.333100,108.509871,108.639193,129.573838,129.610257,129.616882,129.791509,129.827969,129.858819,129.940846,129.972914,129.984617,130.063289,130.123352,130.168521,130.259667,130.261093,130.269682,130.273886,130.301600,130.306409,130.350891,130.365551,130.415947,130.419564,130.447172,130.470430,130.502648,134.695019,155.180917,157.134847,157.203585,159.495346,165.272734,165.305215,165.346090,165.347281,190.488008,196.726323,196.739090,196.748105,196.762240,196.867109,196.875296,196.877080,196.933356,196.979937,197.000730,197.010332,197.035904,197.064069,197.192591,197.234483,197.236081,197.270408,207.964328,207.993450","4,6,5,5,4,6,5,2,1,1,2,3,2,4,6,5,6,5,5,7,4,6,5,6,5,5,0,7,4,7,4,4,4,6,5,2,1,3,3,3,0,0,0,7,0,7,4,6,6,4,5,4,5,7,4,0,2,1,1,3,0,7,4,4,6,4,5,6,2,2,1,4,1,2,3,1,1,3,3,0",0
