event_times,event_types,cluster
"18.881133,18.948217,32.896083,32.941776,40.863119,40.900040,41.016352,41.173551,41.178041,41.204276,41.301634,41.301911,41.355463,41.359204,41.444227,41.456060,41.534922,41.538816,45.762486,48.846510,48.863222,48.874900,48.887979,48.892654,48.906003,48.930850,48.979179,49.002191,49.077620,49.194898,49.351755,49.363816,49.487309,49.489812,49.521737,49.522166,49.562913,49.688704,52.279151,52.390956,121.849526,132.335790,142.251615,174.059274,179.119989,179.268364,188.281762,188.317973,188.372213,188.372914,188.399443,188.431642,188.446898,197.908583,197.935608,200.059139,201.867429,201.985072,207.913700,234.278486,240.802675,240.927937,241.199934,241.554438,241.588207,241.857203,266.926485,269.775662,271.754565,271.871844,271.966523,271.979015,272.078830,272.202910,272.230390,272.401072,276.738778,276.912282,279.250015,302.587336","3,1,0,6,0,6,6,5,2,5,2,7,3,7,7,3,1,4,6,6,5,2,7,2,7,3,3,1,1,4,0,0,6,5,2,2,2,5,6,5,2,4,3,1,2,7,7,3,3,3,1,4,3,7,3,7,2,7,1,5,0,6,6,5,2,7,3,1,0,6,5,2,7,5,3,3,0,6,0,0",0
"7.705802,27.528019,27.778502,27.827256,27.915771,35.216287,35.251037,35.275418,37.471615,41.443568,48.809336,56.151362,56.379163,56.448680,56.573494,56.593699,56.901845,56.968054,77.622166,77.665407,77.846160,85.599054,85.600070,85.668862,85.752422,85.787616,85.845267,86.002540,86.048378,86.115413,86.148434,88.668288,97.557042,97.826826,97.882230,167.780042,172.678031,178.073791,189.922450,196.273563,219.909129,220.218942,220.272022,220.400657,220.448959,229.657912,229.694015,229.712466,229.748341,229.801809,229.817776,229.900713,229.971143,233.159673,242.773014,254.062374,254.069555,254.088267,254.091391,254.093165,254.246300,254.302478,254.382671,254.420946,254.436834,254.450134,254.507583,254.513253,254.580208,254.587613,254.603548,254.639830,254.670413,254.672941,254.773980,267.784506,268.036553,277.852268,277.859988,277.924997","2,0,6,5,2,7,3,1,6,3,1,0,6,6,5,2,2,7,0,6,5,1,4,4,0,4,0,6,5,2,5,1,4,0,0,5,5,6,3,7,3,0,6,6,5,3,1,1,4,4,1,4,4,3,1,7,3,3,3,3,3,3,0,6,6,5,5,2,2,1,2,7,2,7,3,5,2,1,4,4",0
"30.323638,30.442486,30.466565,30.631191,30.658689,30.799871,43.753286,43.816600,43.934675,43.971059,44.084971,44.214896,44.396996,63.482531,63.510206,63.592012,63.753774,71.977127,72.011435,72.031507,72.039490,72.100105,72.100864,72.153844,72.306606,72.490764,72.732439,72.783785,77.068630,101.694581,121.827808,121.898588,121.903045,121.924916,121.983392,122.069384,122.074008,122.122391,122.142217,122.254361,122.295326,122.298054,122.304195,122.363623,122.372509,122.384476,122.449815,122.583532,130.589399,130.613906,130.656558,130.761515,130.930525,130.952068,137.636470,141.197299,141.237101,168.699246,185.744754,219.422281,219.617377,222.131301,241.994378,255.562596,255.569077,255.584560,255.600449,255.697759,260.617459,280.572594,280.589684,280.976060,281.144969,303.450153,303.528448,342.887675,342.889754,342.929553,361.007532,375.215264","3,1,4,4,0,6,6,5,2,7,5,3,5,3,1,4,0,2,7,3,1,1,4,4,0,6,5,2,2,3,3,1,4,4,0,0,6,5,5,0,2,2,5,5,2,2,7,3,0,6,5,2,2,7,3,1,4,3,2,1,4,5,3,2,7,3,1,3,3,2,7,3,1,5,2,5,2,2,4,0",0
"15.545606,24.122615,33.405497,33.455010,37.471772,37.563920,42.735321,42.743969,42.745168,42.813573,42.863962,42.908320,61.494277,76.962700,77.014772,77.051535,77.065126,77.080030,77.209178,77.244834,77.315766,77.491318,77.542294,82.138380,82.165951,82.375470,82.416292,82.439290,82.496113,88.619611,99.789660,108.480722,109.419016,130.042499,130.500717,146.075252,146.087771,146.194525,146.511303,173.501976,173.545876,173.549555,173.550740,173.669582,173.720596,173.814077,173.827042,173.890089,173.927347,173.957721,173.984612,174.021550,174.040239,174.098876,174.101012,174.341362,189.499320,192.473510,192.484200,192.518082,192.628218,192.831339,230.195785,234.623113,256.817397,256.882928,257.017046,258.974787,259.022687,259.032067,259.070442,259.335248,259.458539,259.501025,259.520949,259.567938,259.653042,259.654283,259.708543,259.714721","6,5,3,1,5,2,6,5,2,5,5,2,6,5,2,2,7,7,7,3,3,1,1,0,6,6,5,5,2,6,5,0,6,1,4,4,0,6,5,1,4,0,4,0,6,5,2,2,7,7,7,3,3,1,1,4,4,1,4,0,0,6,4,2,7,3,3,5,2,7,3,1,4,0,0,6,6,5,5,2",0
"41.622798,41.689236,49.067389,49.220250,49.265850,52.997310,56.469375,56.593859,56.601707,56.603455,56.614933,56.745744,58.216689,63.426184,63.428135,63.471729,76.440083,76.546356,76.596957,76.615648,76.714865,120.723013,121.043672,121.052472,121.078152,121.131480,121.178974,121.210181,121.285865,126.437495,126.468437,126.617673,126.650869,126.661207,140.258354,147.624239,164.550627,164.862869,164.954335,165.254120,165.298506,165.526890,165.680007,165.713203,165.718661,170.511583,171.949326,171.957584,171.961592,172.075976,172.101368,172.163424,172.181887,173.863177,173.877400,192.986424,201.961383,201.994351,202.255466,215.134687,231.511884,231.601549,231.748661,231.768583,232.369212,245.003533,245.060091,245.063914,245.066312,250.381154,261.607008,269.701493,269.802264,285.624708,306.089749,311.114326,321.011541,325.168424,325.185200,325.188984","6,5,4,0,6,5,4,0,0,6,2,7,3,1,4,4,2,7,3,1,1,2,7,3,1,1,4,4,0,4,0,6,5,2,1,3,4,0,6,6,5,2,5,2,7,4,3,1,1,1,4,4,5,5,2,1,1,4,0,6,3,1,4,0,6,4,0,6,6,7,6,7,3,1,0,7,7,3,1,4",0
"3.575390,13.633690,13.745174,14.503244,25.928883,49.882120,51.690938,51.694620,51.694645,51.722454,51.723080,51.760023,51.762118,51.773037,51.776330,51.788216,51.797929,51.822333,52.103850,53.977183,54.011219,54.019079,54.246465,54.429169,89.036997,89.047009,89.050870,89.148659,89.231170,89.235117,89.250286,89.272411,89.328250,89.334860,89.401434,89.684701,103.242631,109.379241,109.385245,113.079074,113.112773,113.316269,113.337958,113.347072,123.047393,123.259577,133.673056,133.783483,164.523255,164.550751,164.609326,164.921287,164.997256,165.086146,166.406615,166.413221,168.466684,168.645306,168.689935,168.710599,170.197301,174.378720,183.408308,183.421310,183.495197,183.525175,187.691011,218.136164,220.024580,220.247725,221.492692,265.849957,269.673855,269.700788,269.846080,269.863235,270.124007,275.617898,285.989885,290.737359","4,0,6,4,1,5,2,7,7,7,7,3,1,3,1,1,4,4,1,7,3,1,4,0,7,3,3,1,3,4,0,1,1,0,6,5,7,6,5,5,2,7,7,3,7,3,3,1,5,2,7,3,3,1,3,2,3,1,4,0,1,3,3,5,1,4,4,0,6,4,1,1,1,4,4,0,6,3,0,6",0
"22.428958,57.515996,57.517205,57.526878,57.547803,57.553048,57.568253,57.622571,57.637430,57.655078,57.657851,57.657915,57.682720,57.685934,57.686210,57.697744,57.716100,57.785333,57.893399,57.953935,57.991085,58.054558,58.065750,58.078431,58.184095,78.199984,78.303180,78.309170,79.858012,80.988330,81.005967,81.033807,81.034820,81.056811,81.059234,81.062744,81.065574,81.128771,81.170287,81.192860,81.255851,81.320006,81.450302,119.147800,119.172045,135.489770,135.500608,135.534037,143.127680,143.146968,143.185767,143.391392,143.461694,151.917987,165.324735,174.979059,175.035313,175.101306,175.287658,175.329256,175.382845,175.430163,208.022390,208.138983,208.217619,208.307491,208.342864,208.344170,208.386690,208.400166,208.427345,208.430902,208.513477,208.601823,220.716948,220.729310,221.901891,226.198906,235.498326,235.717333","0,3,1,4,1,4,0,1,4,0,6,5,0,6,0,2,6,5,0,2,6,7,3,3,1,1,4,4,7,0,6,6,5,2,6,6,5,5,7,3,1,3,5,3,1,7,3,3,7,3,3,1,4,4,5,5,2,7,7,3,2,7,7,3,1,4,4,0,6,6,0,6,5,2,1,4,2,4,4,0",0
"32.550978,32.595817,32.748982,49.839170,49.844076,49.853271,49.888928,49.904626,50.004549,50.012479,50.213585,50.295622,82.468881,123.389294,129.200154,130.214505,134.753694,145.107752,145.159621,152.968048,152.973304,157.854184,157.855567,157.891119,157.916516,157.951531,158.052929,158.121622,158.177399,158.180935,158.228637,158.236020,158.254702,158.279054,158.290805,158.317594,158.338476,158.364416,158.387208,158.417367,158.424747,158.440240,158.503781,158.530138,158.679518,166.871505,167.130429,167.212738,181.710106,181.855609,228.044720,228.101161,228.157860,228.200883,236.239363,236.437627,236.452652,236.494864,251.585098,251.782002,251.837880,251.857740,269.695210,269.794495,284.495080,299.210180,299.235993,299.237343,309.731401,317.176648,317.181668,317.256157,317.373616,317.393293,317.444272,317.568373,317.626835,333.128147,345.397772,345.398057","6,5,2,3,1,4,0,4,0,0,6,6,3,7,6,4,2,5,2,2,7,4,0,6,5,2,7,6,5,2,2,7,3,7,3,3,7,2,1,4,1,4,4,4,0,0,6,5,6,5,6,5,5,5,2,7,3,1,1,4,0,6,0,6,0,1,4,4,3,1,4,0,4,4,0,0,6,5,5,2",0
"3.823988,13.326919,29.570303,67.666157,69.028654,72.054258,72.090459,72.120705,72.255407,72.338302,72.453113,72.475274,72.525748,72.853986,99.764308,99.864188,99.933410,100.352409,121.225256,121.297905,121.445439,121.465296,121.469704,121.538930,121.958604,131.699152,132.637860,149.866321,150.061645,150.111995,150.213302,150.233020,150.314494,169.829640,170.233550,170.282708,170.407614,170.624218,176.944767,198.686961,198.764417,198.798628,198.814076,214.439672,230.753584,234.215402,235.111242,252.605361,271.252542,292.790077,292.826372,292.847038,304.051447,350.365830,350.367695,350.368144,351.833538,353.910140,371.216141,371.252014,371.253187,371.265607,371.271778,371.385511,371.402330,371.418262,371.427392,371.443011,371.474291,371.519385,371.596471,371.744394,371.796299,371.946700,385.495165,393.404417,393.407461,394.250234,394.323572,394.339487","1,0,4,4,0,1,4,0,0,0,6,5,5,6,2,7,3,7,3,1,1,4,4,4,0,3,3,4,0,6,5,2,2,0,6,5,5,2,7,2,7,3,3,0,5,7,5,2,7,1,4,0,2,3,1,4,5,7,4,0,6,5,6,6,5,2,2,2,7,5,2,7,3,1,0,0,6,5,2,2",0
"19.180114,19.270485,21.096801,22.232894,22.279892,22.301173,31.094772,35.954748,38.126897,38.176424,38.235235,67.521796,67.529944,67.544259,67.554341,67.568986,67.575041,67.580133,67.618443,67.647349,67.661568,67.700512,67.726345,67.731454,68.941066,68.998246,87.393292,93.276499,101.512273,101.532419,101.674515,130.139495,151.298656,151.345873,151.354015,151.375428,155.969923,155.979671,156.103074,156.103338,156.326927,156.353520,156.359323,156.366482,156.393964,156.406228,156.419112,156.430966,156.463552,156.475616,156.488418,156.562587,156.571126,156.760538,156.843121,156.971143,185.703819,185.728434,187.725753,189.119945,189.370532,189.430955,219.856928,220.061388,220.124582,220.246124,253.613600,253.617402,253.637554,253.646602,253.684942,253.734827,253.757687,253.779622,253.795198,253.845547,253.922493,258.101557,270.495756,276.973170","4,0,3,3,1,4,3,4,6,5,5,7,3,3,3,3,1,1,4,0,6,5,5,1,5,2,7,5,6,5,2,5,5,2,7,2,2,7,3,3,1,4,0,0,6,6,5,5,2,2,7,1,2,4,4,0,2,7,2,7,3,1,2,7,3,1,3,1,1,1,4,0,6,5,4,5,2,3,3,3",0
