event_times,event_types,cluster
"2.898951,6.256919,23.263390,43.537184,76.778813,76.944792,77.003931,77.027638,79.575107,99.857971,99.953926,100.026765,100.031390,100.051085,101.708287,110.541200,113.250831,123.507490,123.547741,123.886575,123.889060,123.907371,124.057880,124.114569,124.216422,124.237457,124.362006,124.433567,124.540426,124.602919,130.731101,169.223668,169.234683,169.276356,169.288365,169.290510,169.310752,169.328428,169.335896,169.337506,169.340476,169.344883,169.388646,169.402840,169.413099,169.432625,169.450880,169.458308,169.469143,169.498290,169.539741,169.541100,169.543566,169.547985,169.549749,169.556870,169.567319,169.589460,169.625975,169.626819,169.654664,169.672829,169.675523,169.676480,169.682773,169.687734,169.709508,169.710808,169.713675,169.719194,169.721903,169.764042,169.788327,169.803457,169.806943,169.834917,169.865947,169.894270,170.083548,173.529794","0,4,6,7,0,6,5,2,0,5,2,7,3,3,7,5,7,6,5,5,2,2,7,2,3,4,1,0,0,6,4,4,1,1,0,6,6,5,5,0,5,0,5,2,6,2,2,0,7,6,2,6,6,7,3,4,5,6,5,4,5,2,4,2,2,1,5,5,1,1,7,7,0,5,2,5,2,7,2,0",0
"3.216824,5.574655,5.616193,5.628307,5.714521,5.775737,5.777940,5.780727,5.804460,5.815152,5.828975,5.856013,5.860171,5.863540,5.876642,6.078233,6.103360,6.125942,6.171282,6.455789,43.005201,54.618403,59.375143,68.517035,68.531507,76.483290,76.508680,100.573492,101.011743,101.071048,101.193767,101.243683,101.474652,101.477783,101.699963,124.367612,124.391995,124.444479,150.077866,181.188923,181.297350,181.339315,181.387645,182.572512,205.617406,206.909215,219.472526,221.104234,223.754253,223.981801,224.007446,224.069822,224.070971,224.130767,224.142454,224.295799,224.298460,227.651536,233.669644,239.488862,239.629091,239.779442,239.794088,239.924251,285.445453,285.555946,299.353136,299.361481,299.412889,299.468941,303.707705,303.755682,303.762266,303.817345,304.052982,304.058273,304.093435,304.252568,313.721812,313.944562","4,6,5,2,5,2,7,2,7,3,4,3,1,4,3,4,1,1,0,0,2,0,2,4,1,4,1,4,1,0,6,5,2,5,2,2,7,3,6,6,5,2,7,0,1,3,1,4,1,0,6,5,6,5,5,2,7,1,1,6,5,2,7,7,2,7,6,5,2,7,3,4,1,1,0,6,5,2,2,7",0
"4.025505,4.106788,29.094423,39.102581,39.109276,39.247374,59.660915,68.845601,68.846947,68.901981,68.909969,69.002281,73.178850,73.191653,73.209511,73.266320,73.389906,78.937619,93.489628,104.299107,104.320153,104.441282,120.448384,120.542265,120.560529,120.584888,120.634322,120.649300,120.747452,131.467163,134.077903,134.113626,168.380252,180.841709,180.887556,186.154694,186.469493,189.497260,189.499102,189.570427,189.712823,203.368504,203.561774,203.597413,209.705685,214.069812,214.237922,214.489585,231.957816,241.034959,248.641665,248.704991,253.998941,254.040844,254.050423,254.053823,254.055607,254.064271,254.077037,254.083718,254.083785,254.096454,254.196813,254.228559,254.242265,254.331550,254.477784,254.529904,258.644227,276.721622,285.702987,291.323487,291.822932,292.765674,292.959842,292.983317,293.041715,322.801569,327.557121,344.607606","5,2,1,0,6,6,3,2,7,7,7,3,4,1,0,6,1,5,6,5,2,2,4,1,0,0,6,6,6,1,5,2,3,0,6,0,6,0,6,6,6,0,6,5,5,3,4,1,7,4,5,2,5,2,2,7,7,3,3,7,7,3,4,1,3,3,7,4,4,1,5,5,4,1,0,6,6,3,3,6",0
"7.554879,82.235633,84.916271,85.205761,86.967772,104.358184,105.832016,105.844234,106.120017,106.213277,106.216662,114.300410,129.081022,129.085047,129.135596,129.199057,129.725434,133.704981,134.121815,134.132016,134.141633,134.203503,134.204628,134.231949,134.241986,134.251154,134.355711,134.385027,134.414814,134.439812,134.492580,134.507042,134.656128,134.695223,134.712955,134.736038,134.804602,134.804630,134.824121,134.825799,134.921832,163.647332,163.679873,166.701636,166.786048,166.819756,167.097809,188.268967,221.507014,221.507923,221.529693,283.897199,284.180607,284.247385,292.858363,313.525594,355.019792,355.232030,371.691309,378.357339,378.526752,378.552453,390.048074,390.088965,413.185618,414.620777,417.183274,417.263575,417.403721,417.426801,431.747520,431.755696,432.064859,432.524263,432.567796,452.220731,460.395020,465.474082,465.553079,465.633538","4,6,7,3,5,0,3,4,1,0,6,1,3,4,1,1,1,6,5,2,2,7,3,7,3,2,7,3,4,1,0,0,0,6,6,4,1,6,0,6,6,1,0,0,6,5,2,2,5,2,2,0,6,5,6,4,1,0,3,6,5,2,1,0,5,7,2,7,3,4,2,7,3,7,3,2,2,7,3,4",0
"33.288807,39.683409,60.640012,82.596987,82.703641,82.751032,82.756728,85.695921,85.746830,85.804467,103.496867,122.082537,146.618654,146.646523,146.774694,146.852145,146.887977,146.898854,146.999315,147.005377,147.054912,147.245741,149.341582,149.613101,149.768947,149.779569,149.800744,149.835413,150.064823,173.761667,182.367553,195.775387,195.836144,195.908252,195.977593,196.252685,196.348474,219.480817,230.263194,230.343013,297.214460,297.302656,311.785651,325.322114,332.264400,336.605986,336.661281,336.719408,336.880449,337.060838,337.896721,390.398975,390.456922,421.905718,421.913202,422.094488,422.222897,422.277888,422.518268,433.619186,436.161068,436.478646,436.548257,474.728690,474.758963,474.785545,474.788632,474.805699,474.825403,474.834633,474.841202,474.855785,477.541069,477.707825,477.794256,491.178640,492.205619,500.421804,500.490427,500.618613","2,4,0,7,3,4,1,7,3,4,6,6,0,6,5,2,6,5,5,2,2,2,7,3,4,1,0,6,0,7,7,7,3,4,4,1,0,0,0,6,2,7,2,2,7,4,1,0,1,4,0,2,7,6,5,5,2,7,3,3,6,5,2,5,2,7,3,3,2,2,3,7,7,3,4,4,2,4,1,1",0
"3.279797,3.323311,3.340391,3.504509,24.948541,24.955482,25.098939,25.133111,27.588890,30.674339,46.226595,57.276355,63.035169,72.314797,72.456739,72.564652,91.621491,91.724042,91.746221,91.756150,91.920821,92.075982,92.270318,92.506212,111.921042,117.602165,122.221187,124.837887,173.066444,176.460512,186.838419,227.724752,227.848344,227.916695,227.935743,228.586828,249.080030,249.160259,299.472774,312.320686,312.673205,312.743706,312.792516,313.709786,313.727330,313.729689,313.855310,313.938864,314.061578,325.542820,388.448743,388.452439,388.465630,388.646204,388.674788,389.077678,389.192234,427.365365,440.820705,448.298898,468.990971,470.616701,470.708347,470.724605,485.017881,485.021044,485.132596,485.141646,485.143198,485.248319,485.283828,485.285607,495.953364,529.811600,543.002374,552.121791,552.159922,555.144597,555.239150,555.363023","3,4,1,1,0,6,6,5,4,4,0,4,7,5,2,2,2,7,3,3,4,1,1,0,0,0,2,4,3,0,0,1,0,0,6,5,0,6,7,2,1,0,6,6,5,5,5,2,5,7,0,6,5,2,7,1,0,7,1,5,0,1,0,6,2,7,3,7,4,4,1,3,2,7,3,0,6,1,0,6",0
"14.638275,14.694422,14.880959,23.814395,23.956861,23.968577,24.001592,24.146005,32.038218,32.188509,32.297212,32.318950,32.419788,32.435674,32.447217,32.512025,37.912710,37.951146,37.975857,38.170851,38.194230,44.618324,44.793032,44.856151,44.887731,45.028660,57.066625,57.572522,57.582401,57.583752,57.615415,57.626642,84.878724,97.569935,97.589354,97.669354,97.749723,97.773776,97.801945,97.842294,97.873309,97.912741,97.928160,97.966968,98.006124,98.042469,138.476070,138.479625,156.310916,158.096161,158.199648,158.382710,158.408209,168.303330,172.328813,173.802530,173.891351,198.730559,198.988125,199.020033,199.130569,199.175851,199.179421,199.180209,199.182726,199.237163,199.242777,199.250424,199.258306,199.359962,199.428024,199.441598,199.495189,200.026501,200.104475,224.556201,227.773485,227.790333,227.808957,227.890979","2,7,3,0,6,5,5,2,3,4,1,0,1,6,5,5,2,7,3,4,7,3,4,1,4,1,4,4,1,1,0,0,2,1,6,0,5,0,6,5,5,2,5,2,2,7,4,1,1,5,2,7,3,1,0,3,4,0,6,5,2,5,2,5,2,7,2,2,7,3,7,7,4,3,4,3,2,7,3,3",0
"13.109863,69.434882,92.695508,92.701520,92.833185,100.245142,100.262927,100.272070,100.281041,100.319773,100.362220,100.374906,100.392295,100.411485,100.586416,100.635635,100.753997,100.768198,100.785164,100.795054,101.000221,101.723488,113.400015,113.478329,113.556482,117.044504,117.255928,121.265546,167.341315,168.806325,168.840048,181.032035,181.461162,181.584900,181.599958,181.648719,181.767065,205.221552,207.425535,231.001117,231.009607,231.025949,231.037393,231.141635,231.226823,274.011060,281.402235,281.428583,289.847477,290.024492,303.968170,304.005491,304.029691,304.045575,304.100308,304.121676,304.148724,304.229565,304.282840,304.420005,304.462536,313.378918,336.853595,336.890441,381.143873,381.189321,381.206590,381.356183,383.239046,383.262850,383.293237,383.326056,383.332908,383.357189,383.380267,383.414216,383.448390,383.530418,383.551418,404.389839","7,5,4,1,1,1,0,0,0,6,5,6,5,2,5,7,5,6,3,5,4,3,2,7,3,4,1,7,5,7,3,1,0,6,5,5,2,2,3,5,2,2,7,2,7,4,0,6,3,4,6,5,2,5,2,2,7,7,7,3,4,1,1,0,4,1,0,0,0,6,5,2,2,2,7,7,5,2,2,6",0
"16.274789,16.440582,26.562870,26.610087,26.873246,26.901385,27.284346,27.687359,27.854351,32.407134,35.712557,54.023788,54.089177,54.156614,54.171740,54.214950,54.306204,54.320453,54.436585,54.561460,71.527589,75.508188,76.334092,76.406749,76.666807,76.689248,76.705093,76.760012,76.815778,76.874486,103.686180,104.052474,104.164429,112.185191,112.237908,114.634240,114.742409,135.001530,135.116861,144.196000,144.288970,146.770631,146.923795,150.222898,173.095518,178.101227,181.386557,181.557890,181.759081,201.969906,227.757011,227.774132,242.573483,242.579250,242.645166,242.793174,242.836954,242.896833,242.990276,243.077162,243.088567,243.121917,243.150316,243.156600,243.166270,243.171287,243.176661,243.183494,243.198706,243.216481,243.258882,243.267189,269.071476,284.378339,292.802285,292.814421,292.891961,293.811823,302.995429,333.864009","5,2,3,4,6,5,2,7,3,7,3,4,1,0,1,6,5,2,6,5,3,5,2,7,2,7,3,4,1,7,1,6,5,1,0,0,6,4,1,7,3,4,1,5,0,3,4,1,0,1,2,7,6,5,5,5,2,2,7,3,7,4,3,1,4,1,1,0,6,1,6,5,7,1,3,4,4,6,4,0",0
"10.568547,26.025974,26.117827,26.186522,26.240789,26.762055,26.793618,28.082447,28.127618,38.104408,75.832392,75.849667,75.928770,81.176353,86.589618,86.838873,93.264451,93.315733,97.377639,114.336015,114.921802,128.297480,139.824713,150.424814,150.498423,169.004918,169.124622,169.221294,169.226474,175.118670,186.780037,190.468253,190.550953,190.661696,190.684874,190.698481,190.889464,190.906267,191.000738,191.002281,191.010099,191.101204,191.277058,215.346992,220.018696,220.024037,220.039633,220.102194,221.033883,221.073456,221.082992,221.136556,230.629226,237.121459,267.095109,272.712098,299.736494,299.773255,303.435374,316.738012,316.744290,316.999446,317.217289,317.299757,337.225770,337.276313,337.291280,337.483178,337.506895,337.517810,337.524412,337.575781,337.577820,337.581293,337.606174,337.611249,337.681718,337.693505,337.813055,337.814921","4,2,7,3,3,4,1,2,7,4,1,0,6,3,4,1,6,5,1,0,1,5,2,5,2,6,5,5,2,3,1,7,3,4,1,1,0,6,0,0,6,6,5,4,4,1,1,0,6,5,2,2,0,1,3,7,2,7,2,4,1,0,6,5,6,5,2,2,5,2,7,7,7,3,3,3,4,3,1,0",0
